#     index      Reference     Calculated        Error^2    
         1 6.23817470e-01 4.72576921e-01 2.28737036e-02    
         2 8.33817470e-01 9.39679919e-01 1.12068580e-02    
         3 4.33817470e-01 3.65592662e-01 4.65462440e-03    
         4 6.72817470e-01 7.38324285e-01 4.29114286e-03    
         5 5.70817470e-01 6.32497283e-01 3.80439929e-03    
         6 7.27817470e-01 8.31645074e-01 1.07801713e-02    
         7 1.32481747e+00 1.43964478e+00 1.31853115e-02    
         8 8.22817470e-01 9.21725955e-01 9.78288838e-03    
         9 5.66817470e-01 5.56365527e-01 1.09243117e-04    
        10 9.15817470e-01 9.87088692e-01 5.07958713e-03    
        11 5.70817470e-01 6.04991443e-01 1.16786044e-03    
        12 1.12781747e+00 1.15832850e+00 9.30922841e-04    
        13 7.57817470e-01 7.50536216e-01 5.30166664e-05    
        14 9.04817470e-01 9.49348172e-01 1.98298346e-03    
        15 6.50817470e-01 6.26481599e-01 5.92234637e-04    
        16 9.35817470e-01 1.02639224e+00 8.20378865e-03    
        17 5.29817470e-01 5.40318491e-01 1.10271440e-04    
        18 1.99817470e-01 2.06856724e-01 4.95510914e-05    
        19 1.35881747e+00 1.25930069e+00 9.90358896e-03    
        20 4.89817470e-01 5.65555183e-01 5.73620113e-03    
        21 3.02817470e-01 3.32434877e-01 8.77190809e-04    
        22 1.19881747e+00 1.14875159e+00 2.50659232e-03    
        23 8.33817470e-01 7.13004570e-01 1.45957569e-02    
        24 3.93817470e-01 4.87161152e-01 8.71304293e-03    
        25 5.27817470e-01 5.06973047e-01 4.34489983e-04    
        26 6.42817470e-01 5.88004397e-01 3.00447298e-03    
        27 4.72817470e-01 5.41678237e-01 4.74180526e-03    
        28 1.46481747e+00 1.69208666e+00 5.16512861e-02    
        29 8.53817470e-01 8.08178259e-01 2.08293754e-03    
        30 3.05817470e-01 3.41655156e-01 1.28433974e-03    
        31 7.34817470e-01 6.98934119e-01 1.28761488e-03    
        32 4.26817470e-01 4.97446376e-01 4.98844237e-03    
        33 1.06581747e+00 1.16382310e+00 9.60510302e-03    
        34 1.05681747e+00 1.00942773e+00 2.24578791e-03    
        35 7.82817470e-01 7.59591244e-01 5.39457570e-04    
        36 1.01781747e+00 1.12048004e+00 1.05396031e-02    
        37 1.24781747e+00 1.18343530e+00 4.14506342e-03    
        38 7.00817470e-01 7.47640267e-01 2.19237428e-03    
        39 1.20981747e+00 1.27166519e+00 3.82514092e-03    
        40 4.47817470e-01 4.89688706e-01 1.75320040e-03    
        41 8.39817470e-01 8.75305314e-01 1.25938705e-03    
        42 3.59817470e-01 3.59995361e-01 3.16452888e-08    
        43 6.15817470e-01 5.83918906e-01 1.01751840e-03    
        44 5.25817470e-01 5.53447822e-01 7.63436347e-04    
        45 5.48817470e-01 5.62588451e-01 1.89639925e-04    
        46 1.16281747e+00 1.17537670e+00 1.57734172e-04    
        47 3.58817470e-01 4.00006562e-01 1.69654129e-03    
        48 6.36817470e-01 6.04654209e-01 1.03447537e-03    
        49 1.20681747e+00 1.19134594e+00 2.39368267e-04    
        50 6.12817470e-01 6.59103123e-01 2.14236169e-03    
        51 2.57081747e+00 2.67076504e+00 9.98951743e-03    
        52 5.79181747e+00 5.59290114e+00 3.95677065e-02    
        53 4.58881747e+00 4.49228295e+00 9.31891303e-03    
        54 4.58881747e+00 4.35004988e+00 5.70099613e-02    
