    #index           Reference          Calculated         Polynomials          Dispersion    Electrostatics (Permanent + Induced)    
         1      6.23817470e-01      4.72576921e-01      4.72576921e-01      0.00000000e+00                          0.00000000e+00    
         2      8.33817470e-01      9.39679919e-01      9.39679919e-01      0.00000000e+00                          0.00000000e+00    
         3      4.33817470e-01      3.65592662e-01      3.65592662e-01      0.00000000e+00                          0.00000000e+00    
         4      6.72817470e-01      7.38324285e-01      7.38324285e-01      0.00000000e+00                          0.00000000e+00    
         5      5.70817470e-01      6.32497283e-01      6.32497283e-01      0.00000000e+00                          0.00000000e+00    
         6      7.27817470e-01      8.31645074e-01      8.31645074e-01      0.00000000e+00                          0.00000000e+00    
         7      1.32481747e+00      1.43964478e+00      1.43964478e+00      0.00000000e+00                          0.00000000e+00    
         8      8.22817470e-01      9.21725955e-01      9.21725955e-01      0.00000000e+00                          0.00000000e+00    
         9      5.66817470e-01      5.56365527e-01      5.56365527e-01      0.00000000e+00                          0.00000000e+00    
        10      9.15817470e-01      9.87088692e-01      9.87088692e-01      0.00000000e+00                          0.00000000e+00    
        11      5.70817470e-01      6.04991443e-01      6.04991443e-01      0.00000000e+00                          0.00000000e+00    
        12      1.12781747e+00      1.15832850e+00      1.15832850e+00      0.00000000e+00                          0.00000000e+00    
        13      7.57817470e-01      7.50536216e-01      7.50536216e-01      0.00000000e+00                          0.00000000e+00    
        14      9.04817470e-01      9.49348172e-01      9.49348172e-01      0.00000000e+00                          0.00000000e+00    
        15      6.50817470e-01      6.26481599e-01      6.26481599e-01      0.00000000e+00                          0.00000000e+00    
        16      9.35817470e-01      1.02639224e+00      1.02639224e+00      0.00000000e+00                          0.00000000e+00    
        17      5.29817470e-01      5.40318491e-01      5.40318491e-01      0.00000000e+00                          0.00000000e+00    
        18      1.99817470e-01      2.06856724e-01      2.06856724e-01      0.00000000e+00                          0.00000000e+00    
        19      1.35881747e+00      1.25930069e+00      1.25930069e+00      0.00000000e+00                          0.00000000e+00    
        20      4.89817470e-01      5.65555183e-01      5.65555183e-01      0.00000000e+00                          0.00000000e+00    
        21      3.02817470e-01      3.32434877e-01      3.32434877e-01      0.00000000e+00                          0.00000000e+00    
        22      1.19881747e+00      1.14875159e+00      1.14875159e+00      0.00000000e+00                          0.00000000e+00    
        23      8.33817470e-01      7.13004570e-01      7.13004570e-01      0.00000000e+00                          0.00000000e+00    
        24      3.93817470e-01      4.87161152e-01      4.87161152e-01      0.00000000e+00                          0.00000000e+00    
        25      5.27817470e-01      5.06973047e-01      5.06973047e-01      0.00000000e+00                          0.00000000e+00    
        26      6.42817470e-01      5.88004397e-01      5.88004397e-01      0.00000000e+00                          0.00000000e+00    
        27      4.72817470e-01      5.41678237e-01      5.41678237e-01      0.00000000e+00                          0.00000000e+00    
        28      1.46481747e+00      1.69208666e+00      1.69208666e+00      0.00000000e+00                          0.00000000e+00    
        29      8.53817470e-01      8.08178259e-01      8.08178259e-01      0.00000000e+00                          0.00000000e+00    
        30      3.05817470e-01      3.41655156e-01      3.41655156e-01      0.00000000e+00                          0.00000000e+00    
        31      7.34817470e-01      6.98934119e-01      6.98934119e-01      0.00000000e+00                          0.00000000e+00    
        32      4.26817470e-01      4.97446376e-01      4.97446376e-01      0.00000000e+00                          0.00000000e+00    
        33      1.06581747e+00      1.16382310e+00      1.16382310e+00      0.00000000e+00                          0.00000000e+00    
        34      1.05681747e+00      1.00942773e+00      1.00942773e+00      0.00000000e+00                          0.00000000e+00    
        35      7.82817470e-01      7.59591244e-01      7.59591244e-01      0.00000000e+00                          0.00000000e+00    
        36      1.01781747e+00      1.12048004e+00      1.12048004e+00      0.00000000e+00                          0.00000000e+00    
        37      1.24781747e+00      1.18343530e+00      1.18343530e+00      0.00000000e+00                          0.00000000e+00    
        38      7.00817470e-01      7.47640267e-01      7.47640267e-01      0.00000000e+00                          0.00000000e+00    
        39      1.20981747e+00      1.27166519e+00      1.27166519e+00      0.00000000e+00                          0.00000000e+00    
        40      4.47817470e-01      4.89688706e-01      4.89688706e-01      0.00000000e+00                          0.00000000e+00    
        41      8.39817470e-01      8.75305314e-01      8.75305314e-01      0.00000000e+00                          0.00000000e+00    
        42      3.59817470e-01      3.59995361e-01      3.59995361e-01      0.00000000e+00                          0.00000000e+00    
        43      6.15817470e-01      5.83918906e-01      5.83918906e-01      0.00000000e+00                          0.00000000e+00    
        44      5.25817470e-01      5.53447822e-01      5.53447822e-01      0.00000000e+00                          0.00000000e+00    
        45      5.48817470e-01      5.62588451e-01      5.62588451e-01      0.00000000e+00                          0.00000000e+00    
        46      1.16281747e+00      1.17537670e+00      1.17537670e+00      0.00000000e+00                          0.00000000e+00    
        47      3.58817470e-01      4.00006562e-01      4.00006562e-01      0.00000000e+00                          0.00000000e+00    
        48      6.36817470e-01      6.04654209e-01      6.04654209e-01      0.00000000e+00                          0.00000000e+00    
        49      1.20681747e+00      1.19134594e+00      1.19134594e+00      0.00000000e+00                          0.00000000e+00    
        50      6.12817470e-01      6.59103123e-01      6.59103123e-01      0.00000000e+00                          0.00000000e+00    
        51      2.57081747e+00      2.67076504e+00      2.67076504e+00      0.00000000e+00                          0.00000000e+00    
        52      5.79181747e+00      5.59290114e+00      5.59290114e+00      0.00000000e+00                          0.00000000e+00    
        53      4.58881747e+00      4.49228295e+00      4.49228295e+00      0.00000000e+00                          0.00000000e+00    
        54      4.58881747e+00      4.35004988e+00      4.35004988e+00      0.00000000e+00                          0.00000000e+00    
        55      1.21978175e+01      1.21900604e+01      1.21900604e+01      0.00000000e+00                          0.00000000e+00    
        56      2.49981747e+00      2.34695294e+00      2.34695294e+00      0.00000000e+00                          0.00000000e+00    
        57      3.21181747e+00      3.23636268e+00      3.23636268e+00      0.00000000e+00                          0.00000000e+00    
        58      1.89081747e+00      1.81018845e+00      1.81018845e+00      0.00000000e+00                          0.00000000e+00    
        59      4.81781747e+00      4.69453722e+00      4.69453722e+00      0.00000000e+00                          0.00000000e+00    
        60      3.95381747e+00      4.26762990e+00      4.26762990e+00      0.00000000e+00                          0.00000000e+00    
        61      1.08938175e+01      1.04676486e+01      1.04676486e+01      0.00000000e+00                          0.00000000e+00    
        62      5.58381747e+00      5.50365572e+00      5.50365572e+00      0.00000000e+00                          0.00000000e+00    
        63      4.26281747e+00      4.17987147e+00      4.17987147e+00      0.00000000e+00                          0.00000000e+00    
        64      1.97681747e+00      2.10384696e+00      2.10384696e+00      0.00000000e+00                          0.00000000e+00    
        65      1.32481747e+00      1.33858279e+00      1.33858279e+00      0.00000000e+00                          0.00000000e+00    
        66      3.04281747e+00      3.13039403e+00      3.13039403e+00      0.00000000e+00                          0.00000000e+00    
        67      3.81881747e+00      4.08849688e+00      4.08849688e+00      0.00000000e+00                          0.00000000e+00    
        68      3.45981747e+00      3.37885277e+00      3.37885277e+00      0.00000000e+00                          0.00000000e+00    
        69      3.88781747e+00      3.78655252e+00      3.78655252e+00      0.00000000e+00                          0.00000000e+00    
        70      5.25781747e+00      5.46143946e+00      5.46143946e+00      0.00000000e+00                          0.00000000e+00    
        71      1.55481747e+00      1.49069872e+00      1.49069872e+00      0.00000000e+00                          0.00000000e+00    
        72      2.40981747e+00      2.52398530e+00      2.52398530e+00      0.00000000e+00                          0.00000000e+00    
        73      3.88881747e+00      3.37661992e+00      3.37661992e+00      0.00000000e+00                          0.00000000e+00    
        74      3.22581747e+00      2.92247495e+00      2.92247495e+00      0.00000000e+00                          0.00000000e+00    
        75      6.56181747e+00      6.39227083e+00      6.39227083e+00      0.00000000e+00                          0.00000000e+00    
        76      3.27581747e+00      3.19588359e+00      3.19588359e+00      0.00000000e+00                          0.00000000e+00    
        77      5.61681747e+00      5.82786137e+00      5.82786137e+00      0.00000000e+00                          0.00000000e+00    
        78      5.34681747e+00      5.41329390e+00      5.41329390e+00      0.00000000e+00                          0.00000000e+00    
        79      9.48481747e+00      9.42846287e+00      9.42846287e+00      0.00000000e+00                          0.00000000e+00    
        80      3.49681747e+00      3.27180677e+00      3.27180677e+00      0.00000000e+00                          0.00000000e+00    
