    #index           Reference          Calculated         Polynomials          Dispersion    Electrostatics (Permanent + Induced)    
         1     -7.43300000e+00     -7.45718465e+00      1.26159124e+00     -2.39929277e+00                         -6.31948312e+00    
         2     -8.51100000e+00     -8.68777505e+00      1.29058173e+00     -2.76240190e+00                         -7.21595487e+00    
         3     -5.42400000e+00     -5.55094883e+00      1.55672846e+00     -2.12265969e+00                         -4.98501760e+00    
         4     -8.92800000e+00     -8.92384750e+00      1.21564231e+00     -2.72199582e+00                         -7.41749399e+00    
         5     -7.20600000e+00     -7.47442098e+00      4.61931229e-01     -2.31591091e+00                         -5.62044130e+00    
         6     -5.93600000e+00     -5.84356476e+00      2.17360523e+00     -2.45466365e+00                         -5.56250634e+00    
         7     -9.98200000e+00     -9.67847437e+00      9.87174214e-01     -2.91451414e+00                         -7.75113444e+00    
         8     -6.62700000e+00     -6.58215953e+00      1.69455098e+00     -2.41744429e+00                         -5.85926622e+00    
         9     -1.03930000e+01     -1.06867621e+01      6.06892573e-01     -2.98322411e+00                         -8.31043054e+00    
        10     -7.45100000e+00     -7.33458969e+00      9.19034692e-01     -2.37700365e+00                         -5.87662073e+00    
        11     -5.73700000e+00     -6.61520981e+00      8.28546291e-01     -2.62631509e+00                         -4.81744101e+00    
        12     -6.22600000e+00     -6.34401403e+00      1.97628319e+00     -2.53586403e+00                         -5.78443319e+00    
        13     -4.86300000e+00     -4.76306796e+00      1.58774413e+00     -1.96111353e+00                         -4.38969856e+00    
        14     -5.89300000e+00     -6.13251406e+00      1.65010885e+00     -2.23636679e+00                         -5.54625612e+00    
        15     -6.68800000e+00     -6.66548928e+00      1.79947280e+00     -2.43401930e+00                         -6.03094277e+00    
        16     -5.74200000e+00     -5.58827604e+00      1.59526406e+00     -2.07852625e+00                         -5.10501385e+00    
        17     -7.07300000e+00     -7.00663488e+00      1.47266754e+00     -2.37417883e+00                         -6.10512359e+00    
        18     -8.45900000e+00     -8.53163933e+00      1.24295898e+00     -2.69300680e+00                         -7.08159151e+00    
        19     -8.03000000e+00     -8.27343843e+00      1.49939585e+00     -2.75564161e+00                         -7.01719266e+00    
        20     -6.88800000e+00     -6.95500743e+00      1.31986080e+00     -2.33636397e+00                         -5.93850426e+00    
        21     -8.46600000e+00     -8.35478378e+00      1.38620944e+00     -2.74646222e+00                         -6.99453101e+00    
        22     -7.68700000e+00     -7.54822039e+00      1.29245419e+00     -2.65222958e+00                         -6.18844500e+00    
        23     -4.41100000e+00     -4.50116609e+00      2.47180321e+00     -2.31766724e+00                         -4.65530206e+00    
        24     -6.42600000e+00     -7.00722046e+00      1.63306625e+00     -2.62900235e+00                         -6.01128436e+00    
        25     -6.80800000e+00     -7.19522023e+00     -8.47258922e-02     -2.22376875e+00                         -4.88672559e+00    
        26     -5.45500000e+00     -5.96193322e+00      3.63824404e+00     -2.84486548e+00                         -6.75531178e+00    
        27     -6.55400000e+00     -6.82329673e+00      1.54333329e+00     -2.76598609e+00                         -5.60064392e+00    
        28     -8.64700000e+00     -8.64891940e+00      3.25207358e+00     -3.43210847e+00                         -8.46888452e+00    
        29     -7.56700000e+00     -7.39659241e+00      8.56008427e-01     -2.44916217e+00                         -5.80343866e+00    
        30     -7.05900000e+00     -6.94345428e+00      1.98955807e+00     -2.57507878e+00                         -6.35793356e+00    
        31     -5.38200000e+00     -5.48786630e+00      2.53043287e+00     -2.43890379e+00                         -5.57939537e+00    
        32     -6.73900000e+00     -6.92858481e+00      1.40677978e+00     -2.41903793e+00                         -5.91632666e+00    
        33     -3.59500000e+00     -3.87334518e+00      1.81996225e+00     -1.97294988e+00                         -3.72035754e+00    
        34     -8.53200000e+00     -9.37991238e+00      4.03887119e+00     -3.45274745e+00                         -9.96603612e+00    
        35     -5.77100000e+00     -6.10587834e+00      2.82450884e-01     -2.09292372e+00                         -4.29540550e+00    
        36     -4.77800000e+00     -4.51501262e+00      1.69910642e+00     -2.01954009e+00                         -4.19457895e+00    
        37     -6.66300000e+00     -7.61584566e+00      5.71013724e-03     -2.49446023e+00                         -5.12709557e+00    
        38     -5.19000000e+00     -5.13826476e+00      1.43415757e+00     -1.87755505e+00                         -4.69486728e+00    
        39     -6.48400000e+00     -6.74571615e+00      1.11096312e+00     -2.40740385e+00                         -5.44927543e+00    
        40     -2.17200000e+00     -4.40129130e+00      5.09681373e-01     -2.15989328e+00                         -2.75107939e+00    
        41     -9.99400000e+00     -9.62942986e+00      1.65798569e+00     -2.88392324e+00                         -8.40349231e+00    
        42     -7.98500000e+00     -8.31545047e+00      7.29889529e-01     -2.40139936e+00                         -6.64394064e+00    
        43     -1.16900000e+01     -1.12250353e+01      4.16607612e-01     -4.02333503e+00                         -7.61830791e+00    
        44     -1.07140000e+01     -1.16794867e+01      4.72914386e-01     -3.05413676e+00                         -9.09826429e+00    
        45     -6.71500000e+00     -6.72663377e+00      2.01264058e+00     -2.66597440e+00                         -6.07329995e+00    
        46     -3.90300000e+00     -5.21259047e+00      2.03483576e+00     -2.48398330e+00                         -4.76344293e+00    
        47     -8.11200000e+00     -7.77505262e+00      4.91027305e+00     -3.59010887e+00                         -9.09521680e+00    
        48     -5.44900000e+00     -5.45983471e+00      1.45558819e+00     -2.12737665e+00                         -4.78804625e+00    
        49     -2.08800000e+00     -2.48157509e+00      1.51215605e+00     -1.65288511e+00                         -2.34084603e+00    
        50     -5.78100000e+00     -6.29893871e+00      6.24138435e-01     -2.17899974e+00                         -4.74407741e+00    
        51     -1.55860000e+01     -1.52916706e+01      2.11689732e+00     -5.02855791e+00                         -1.23800100e+01    
        52     -4.96600000e+00     -4.74627096e+00     -1.03406107e-01     -1.53596393e+00                         -3.10690093e+00    
        53     -5.51200000e+00     -5.24906911e+00      7.42645454e-01     -1.96385737e+00                         -4.02785719e+00    
        54     -1.50800000e+00     -2.15438393e+00      2.14085818e+00     -2.05682007e+00                         -2.23842204e+00    
        55     -1.43100000e+00     -2.98700610e+00      1.68671916e+00     -2.04851180e+00                         -2.62521346e+00    
        56     -4.58100000e+00     -5.47071110e+00      3.96306471e+00     -2.72940728e+00                         -6.70436853e+00    
        57     -4.18900000e+00     -4.40347639e+00      8.35902359e-01     -1.77671418e+00                         -3.46266457e+00    
        58     -2.80900000e+00     -2.76858290e+00      2.14433138e+00     -2.02895063e+00                         -2.88396364e+00    
        59     -3.01700000e+00     -3.72563796e+00      1.50737620e+00     -1.88319300e+00                         -3.34982115e+00    
        60     -1.06570000e+01     -1.08079021e+01      7.78827583e-03     -3.44549620e+00                         -7.37019417e+00    
        61     -7.48200000e+00     -8.19502793e+00     -1.20205871e+00     -2.05976784e+00                         -4.93320138e+00    
        62     -1.12820000e+01     -1.05593956e+01      2.34382079e+00     -3.69780186e+00                         -9.20541453e+00    
        63     -6.44600000e+00     -6.46898078e+00      1.79235348e+00     -2.31725646e+00                         -5.94407780e+00    
