    #index           Reference          Calculated         Polynomials    Electrostatics (Permanent + Induced)    
         1     -3.47800000e+00     -4.52615863e+00     -1.42861529e+00                         -3.09754333e+00    
         2     -3.75500000e+00     -3.83761362e+00     -1.57672202e+00                         -2.26089160e+00    
         3     -7.26400000e+00     -4.87696102e+00     -2.42078437e+00                         -2.45617664e+00    
         4     -3.99900000e+00     -3.42136839e+00     -6.79234273e-01                         -2.74213412e+00    
         5     -3.43900000e+00     -5.16752365e+00     -2.27140771e+00                         -2.89611594e+00    
         6     -9.73800000e+00     -4.65037158e+00     -1.99384512e+00                         -2.65652647e+00    
         7     -2.69500000e+00     -3.93454412e+00     -1.12535291e+00                         -2.80919121e+00    
         8     -3.88100000e+00     -4.08975329e+00     -2.04525780e+00                         -2.04449549e+00    
         9     -7.62300000e+00     -3.43864929e+00     -9.19454449e-01                         -2.51919484e+00    
        10     -4.91000000e+00     -4.99776302e+00     -3.07810994e+00                         -1.91965308e+00    
        11     -4.82000000e+00     -4.22023307e+00     -1.58293169e+00                         -2.63730138e+00    
        12     -5.02800000e+00     -5.57965054e+00     -2.91955234e+00                         -2.66009819e+00    
        13     -4.45700000e+00     -4.07455812e+00     -1.37605803e+00                         -2.69850009e+00    
        14     -2.45200000e+00     -3.15931627e+00     -6.24661101e-01                         -2.53465517e+00    
        15     -2.90800000e+00     -4.97142564e+00     -3.11309985e+00                         -1.85832579e+00    
        16     -4.02600000e+00     -4.46945370e+00     -1.69681121e+00                         -2.77264249e+00    
        17     -2.49200000e+00     -3.67795245e+00     -1.43448216e+00                         -2.24347029e+00    
        18     -1.51030000e+01     -5.32536913e+00     -3.21807439e+00                         -2.10729474e+00    
        19     -1.68100000e+00     -3.60598726e+00     -1.33240805e+00                         -2.27357921e+00    
        20     -1.66100000e+00     -2.56703241e+00     -2.99656839e-01                         -2.26737557e+00    
        21     -6.90200000e+00     -4.34102157e+00     -1.75824250e+00                         -2.58277908e+00    
        22     -1.55380000e+01     -9.09162470e+00     -6.47175023e+00                         -2.61987447e+00    
        23     -6.04300000e+00     -4.73875247e+00     -1.60045739e+00                         -3.13829508e+00    
        24     -1.25700000e+00     -3.47291848e+00     -5.56579604e-01                         -2.91633887e+00    
        25     -1.38690000e+01     -4.48803455e+00     -1.73958278e+00                         -2.74845177e+00    
        26     -2.87800000e+00     -4.21231113e+00     -1.88357490e+00                         -2.32873622e+00    
        27     -1.48840000e+01     -7.95146816e+00     -6.40611767e+00                         -1.54535049e+00    
        28     -2.31700000e+00     -4.21627361e+00     -2.95879346e+00                         -1.25748015e+00    
        29     -3.20200000e+00     -6.21233778e+00     -4.69640259e+00                         -1.51593519e+00    
