# step time temp etotal ke pe enthalpy density vol press
0 0 258.37026506627887557 -38288.645622045616619 1659.6790312847188034 -39948.324653330339061 -43561.378835082810838 0.39515913179395717458 69370.388678210641956 -5211.7764657902098406
5 0.002500000000000000052 348.54671787644235792 -38304.644583198300097 2238.9406108100233723 -40543.585194008323015 -31536.930981686524319 0.39516135419239395432 69369.998537217034027 6689.5113826568731383
10 0.0050000000000000001041 280.17378523914209154 -38290.147739302614355 1799.7371189667960607 -40089.884858269411779 -21799.366108682363119 0.39515390138517209051 69371.306891314685345 16299.920085033256328
15 0.0074999999999999997224 320.72510126935986818 -38299.459726109642361 2060.2244041003523307 -40359.684130209992873 -37797.487335287216411 0.39512631757902177965 69376.149708906305023 496.12801167077992659
20 0.010000000000000000208 294.50626089067571911 -38293.948605376732303 1891.8038639505775791 -40185.752469327308063 -41921.051975519898406 0.39509631032997516442 69381.418772037955932 -3584.6013750313768469
25 0.012500000000000000694 332.74012060464900742 -38298.35748503805371 2137.4046308812648931 -40435.762115919322241 -26285.460070350214664 0.39506892500779328126 69386.228141710525961 11871.30872138565428
30 0.014999999999999999445 337.26269546806975086 -38301.999466809967998 2166.4560492645268823 -40468.455516074493062 -26664.849869298224803 0.39502639143454049142 69393.699146892438876 11498.751512441904197
35 0.017500000000000001665 294.20927396740677295 -38295.274358873452002 1889.8961251905125209 -40185.170484063964977 -42189.367564079904696 0.39496906773451784245 69403.770577589981258 -3847.2232376016295348
40 0.020000000000000000416 339.62827248725642448 -38302.207333037433273 2181.6516778118984803 -40483.859010849329934 -38443.479623481049202 0.39491481910139258904 69413.304430222153314 -139.55274307501116482
45 0.022499999999999999167 310.40436173790891417 -38295.995344931019645 1993.9276304243787763 -40289.922975355395465 -24740.102876134042162 0.39485937062747378246 69423.051854461315088 13389.011800352203863
50 0.025000000000000001388 332.22860966017668716 -38305.132500709005399 2134.1188658239134384 -40439.251366532917018 -33195.714049601083389 0.39478753992772697146 69435.683221687795594 5045.6005976880342132
55 0.027500000000000000139 291.79696607643415973 -38298.036944987972674 1874.4003140815102597 -40172.437259069483844 -43048.338863879107521 0.39470845116824981869 69449.596230221563019 -4690.0297630252262024
60 0.02999999999999999889 341.63869823949266902 -38303.851776515475649 2194.5659404654797981 -40498.417716980955447 -33115.286712901790452 0.39463362903823356875 69462.763802208210109 5121.7611143346766767
65 0.03250000000000000111 333.63171237553399351 -38303.246256641526998 2143.1319004887959636 -40446.378157130326144 -26123.556019824536634 0.39455172520921588664 69477.183372485174914 12020.378693996597576
70 0.035000000000000003331 326.45986882157529863 -38305.520047572572366 2097.0625187853465832 -40402.582566357916221 -37596.119330443601939 0.39445485682508080183 69494.245255159708904 699.94979576794935383
75 0.037499999999999998612 319.55362722532669295 -38304.427275093126809 2052.6992699442321282 -40357.126545037361211 -40600.190724046347896 0.3943558351151542074 69511.695076824486023 -2264.6097284158890943
80 0.040000000000000000833 336.76633010969629822 -38305.976339260792884 2163.2675740855538606 -40469.243913346348563 -29677.756478415427409 0.39425829293861763825 69528.892741791787557 8509.0289345867822703
85 0.042500000000000003053 332.58880266868516173 -38309.346265537991712 2136.4326180789707905 -40445.778883616963867 -30259.609054259846744 0.3941499840065297855 69547.99866701742576 7936.3566504124855783
90 0.044999999999999998335 310.68135621346283415 -38308.695168180733162 1995.7069447844914976 -40304.40211296522466 -40268.357124676680542 0.39403142065410967643 69568.925535901085823 -1931.4789362872033962
95 0.047500000000000000555 315.97754227183543208 -38308.878108588469331 2029.7277673609926296 -40338.605875949462643 -37531.988307231586077 0.39391403731044688508 69589.656538914307021 765.48879471646625916
100 0.050000000000000002776 330.6289329599861162 -38311.356864195367962 2123.8431095349305906 -40435.199973730297643 -29830.563441625825362 0.39379498094000209285 69610.695638773438986 8353.8105400589138299
105 0.052499999999999998057 323.82517478553955925 -38313.349629636861209 2080.1381778812660741 -40393.487807518125919 -34812.579635808469902 0.39366557463279039375 69633.578165581770008 3447.2198051574455349
110 0.055000000000000000278 311.49133238287879522 -38312.794714374416799 2000.909944688041378 -40313.704659062459541 -40300.524134089580912 0.39353128134836534713 69657.340754126402317 -1956.6560291158505152
115 0.057500000000000002498 323.12980234654941114 -38313.581720039481297 2075.6713517330276773 -40389.253071772509429 -34563.458022067577986 0.39339847291556989672 69680.856560351297958 3690.2536897083141412
120 0.05999999999999999778 335.17197404462456234 -38316.563094098251895 2153.0259956712484382 -40469.589089769498969 -31224.0360182192926 0.39326074289243845294 69705.260587855518679 6976.8527631375800411
125 0.0625 325.52074637945452196 -38317.952025048885844 2091.029928987922176 -40408.981954036811658 -37289.397529686655616 0.39311428059172787153 69731.230625936965225 1011.4026506493407851
130 0.06500000000000000222 315.51620509853404428 -38316.767551779841597 2026.7643008309564721 -40343.531852610794886 -38957.385817702990607 0.39296593787549854992 69757.553823853275389 -629.69781344853367955
135 0.067500000000000004441 330.98308308986895554 -38318.786014750447066 2126.1180444789442845 -40444.904059229389532 -34021.890742790608783 0.39281785151783965571 69783.851361057997565 4222.0555683416378088
140 0.070000000000000006661 333.39173444123770196 -38320.61378505556786 2141.5903672731974439 -40462.204152328762575 -34328.520727411065309 0.39266455920953324821 69811.094277197873453 3921.0314109715218365
