# step time temp etotal ke pe enthalpy density vol press
0 0 73.247984697363037299 34928.01149679574155 1598.0182294251001167 33329.99326737064257 131508.73069746466354 0.81234924174018163789 157621.48183409147896 42014.49420530442876
5 0.002500000000000000052 132.79507640865250551 34846.382396431305096 2897.13025901947276 31949.252137411833246 125977.38373723630502 0.81167673529834949431 157752.07749772793613 39610.941538261969981
10 0.0050000000000000001041 210.9642111477523656 34636.904640444874531 4602.510998265469425 30034.393642179402377 114915.56182711508882 0.80974030916504824429 158129.32837926567299 34810.62202715400781
15 0.0074999999999999997224 191.93990555461331837 34373.841751441854285 4187.4663077446593888 30186.375443697193987 106802.86176214294392 0.80673455600342891536 158718.49085555199417 31290.261615811807133
20 0.010000000000000000208 212.16618483049171573 34072.628750716787181 4628.7339157183214411 29443.894834998463921 92110.966929438785883 0.80293761816771713757 159469.04012553356006 24955.294488611878478
25 0.012500000000000000694 240.58834187865022614 33847.973176637577126 5248.8072907087398562 28599.16588592883636 66634.740514372228063 0.79881933298578700064 160291.1771943384374 14025.330081621234058
30 0.014999999999999999445 191.47139380455993773 33779.211418495375256 4177.244998306884554 29601.966420188487973 46623.361171782118618 0.7949632605719207934 161068.69034144986654 5467.8720534605981811
35 0.017500000000000001665 194.972195838129295 33765.639523243975418 4253.6204165571789417 29512.019106686795567 36974.376893449967611 0.79172566611962247318 161727.3466419892502 1360.4256805952550167
40 0.020000000000000000416 216.06173800245582584 33801.546975651937828 4713.7214414258723991 29087.82553422606361 24364.321871575331897 0.78915999046691476249 162253.14612583137932 -3988.1850234380290203
45 0.022499999999999999167 201.40713644606228172 33871.449875624544802 4394.0086120717915037 29477.441263552755117 7687.3293778488659882 0.78725740752799633349 162645.26700605807127 -11038.769671881171234
50 0.025000000000000001388 187.372051554299901 33942.663432218694652 4087.811498236760599 29854.851933981932234 3947.1011085481259215 0.78602021484597928147 162901.27000738549395 -12625.734381779591786
55 0.027500000000000000139 225.94795141060765786 33980.205595707040629 4929.4044982565428654 29050.801097450497764 5962.4209107214883261 0.78534747256326864484 163040.81406408632756 -11783.154412523936116
60 0.02999999999999999889 220.84833722344356488 34008.3149669313716 4818.1485167057435319 29190.166450225631706 -439.10513660308060935 0.78512939017001937003 163086.10128855350194 -14483.17777343466696
65 0.03250000000000000111 190.28972675177308815 34019.319766746542882 4151.4651014364599177 29867.854665310085693 -4216.9216422440222232 0.7853762245560604871 163034.84527083262219 -16081.215427392417041
